iter	Logloss
0	0.6239096781
1	0.5654274315
2	0.5163776887
3	0.4760662183
4	0.4414054398
5	0.4111453195
6	0.3856235446
7	0.3645397889
8	0.3455685042
9	0.3292201737
10	0.3145052479
11	0.3018733524
12	0.2910545863
13	0.2824844325
14	0.2737923071
15	0.2660570824
16	0.2592093675
17	0.2533802292
18	0.248396457
19	0.2430089372
20	0.2382752229
21	0.234799
22	0.2308910924
23	0.2272230931
24	0.2238160315
25	0.221105385
26	0.217859699
27	0.2147506255
28	0.2119598952
29	0.2099078221
30	0.207948253
31	0.2062698607
32	0.2039220902
33	0.2024054604
34	0.2008054964
35	0.1990805747
36	0.1976690041
37	0.1958360424
38	0.1944170519
39	0.1932634906
40	0.1920237765
41	0.1908338427
42	0.1895696885
43	0.1880618421
44	0.1867333347
45	0.1855041398
46	0.1846155907
47	0.1838591581
48	0.1829571683
49	0.1818679968
50	0.1809477662
51	0.179908352
52	0.1789368272
53	0.1778354283
54	0.1772171043
55	0.1765053469
56	0.1759279921
57	0.1750713349
58	0.1741763225
59	0.1737228754
60	0.17312693
61	0.1722494137
62	0.1716118134
63	0.1707645978
64	0.1700545885
65	0.169461677
66	0.1686432994
67	0.1680673467
68	0.167474874
69	0.1668335901
70	0.1661477024
71	0.1659333706
72	0.165473186
73	0.1650494417
74	0.1645456352
75	0.1639294313
76	0.1635736946
77	0.1631091102
78	0.1628169026
79	0.162309187
80	0.1615857014
81	0.1610840639
82	0.1608236125
83	0.1601727507
84	0.1598952065
85	0.1597054274
86	0.1594461303
87	0.1590515925
88	0.1585832445
89	0.1581862814
90	0.1578906398
91	0.1574028214
92	0.1570745353
93	0.1567167896
94	0.156257974
95	0.1560299909
96	0.1554787541
97	0.1550519754
98	0.154628097
99	0.1543105595
100	0.1540849919
101	0.1537353132
102	0.1533444798
103	0.1529886614
104	0.1524761072
105	0.1523258401
106	0.1519814195
107	0.1515638073
108	0.1511527531
109	0.1507578131
110	0.1505309992
111	0.1500409875
112	0.1496639634
113	0.149234457
114	0.1489808783
115	0.1486922278
116	0.1483620032
117	0.1480701466
118	0.1477615484
119	0.1475494976
120	0.1471529949
121	0.1470034091
122	0.1467875326
123	0.1464735391
124	0.1460917666
125	0.1457491817
126	0.1455336132
127	0.1454731926
128	0.1452397415
129	0.1450229656
130	0.1446766731
131	0.1442899424
132	0.1437695624
133	0.1435231477
134	0.1432753279
135	0.1429986365
136	0.1428019766
137	0.1426114527
138	0.1424563966
139	0.1421306579
140	0.1418761889
141	0.1415926311
142	0.141297997
143	0.1410531488
144	0.1409634178
145	0.1405078976
146	0.1403376995
147	0.1400241204
148	0.1397636707
149	0.1395805343
150	0.1393766756
151	0.1391658237
152	0.1388408353
153	0.1385663264
154	0.1384259659
155	0.1381272912
156	0.1380583719
157	0.1378345233
158	0.1375447319
159	0.1372917299
160	0.137071375
161	0.1367371035
162	0.1365453415
163	0.1363443171
164	0.1362433224
165	0.1360957884
166	0.1357906922
167	0.1356982109
168	0.1354334287
169	0.135232602
170	0.1349559813
171	0.1346299366
172	0.1344062749
173	0.1341445454
174	0.1339815563
175	0.1337670894
176	0.1335369635
177	0.1332206005
178	0.1330591578
179	0.1328264741
180	0.1326138199
181	0.1323715634
182	0.1320425962
183	0.1318766137
184	0.13160045
185	0.1312541257
186	0.1311435774
187	0.1309447093
188	0.1306938932
189	0.1305145258
190	0.1302333265
191	0.1300817442
192	0.1299505562
193	0.1298594898
194	0.1297493123
195	0.1294872717
196	0.1293378623
197	0.1288932706
198	0.1286238019
199	0.1285483305
200	0.1283096808
201	0.1281982598
202	0.1278692649
203	0.1276671999
204	0.1275488824
205	0.1275033665
206	0.1272484571
207	0.1270215706
208	0.1268642405
209	0.1266358748
210	0.1263855095
211	0.1261965213
212	0.1259919864
213	0.1257461613
214	0.1255778274
215	0.1254161612
216	0.1251660803
217	0.1248702445
218	0.1247134001
219	0.1245400156
220	0.124448076
221	0.1242031707
222	0.1241421738
223	0.1238698088
224	0.1235816975
225	0.1234272786
226	0.1232592004
227	0.1230825747
228	0.1229480381
229	0.1227903643
230	0.122580887
231	0.122358255
232	0.1220817624
233	0.1219684831
234	0.1218595418
235	0.1216546701
236	0.1214834262
237	0.1213814408
238	0.1212748146
239	0.1211479031
240	0.1210572032
241	0.1209270975
242	0.1208681216
243	0.1206123547
244	0.1204142783
245	0.1201742858
246	0.1200006837
247	0.1198080911
248	0.1196921969
249	0.1196187608
250	0.1194249472
251	0.119255273
252	0.118997509
253	0.1188356655
254	0.118577473
255	0.1185534822
256	0.1183377733
257	0.118169285
258	0.1180071777
259	0.1178590504
260	0.1176992855
261	0.1175223277
262	0.1174257603
263	0.1171956518
264	0.1170032843
265	0.1168223583
266	0.1166977897
267	0.1165698839
268	0.1162894189
269	0.1159964156
270	0.1158198077
271	0.1157074762
272	0.1154970087
273	0.115349619
274	0.1151440817
275	0.1150301603
276	0.1149173734
277	0.1147983874
278	0.114692803
279	0.114589338
280	0.1144617685
281	0.1142643048
282	0.1141787551
283	0.1139484333
284	0.1137502312
285	0.1136020667
286	0.1134384729
287	0.1132392134
288	0.1130524653
289	0.1128292912
290	0.112645998
291	0.1124690172
292	0.112331904
293	0.1121151526
294	0.1119907477
295	0.111793607
296	0.1116905866
297	0.1115850137
298	0.111396683
299	0.1112431197
300	0.1110933635
301	0.1109298765
302	0.1107206291
303	0.1104721855
304	0.1102921686
305	0.1101381388
306	0.1100039308
307	0.109895196
308	0.1097922359
309	0.1096669861
310	0.1095285328
311	0.1093999201
312	0.109229052
313	0.1091669829
314	0.1090254651
315	0.1088701537
316	0.1088102786
317	0.1087553984
318	0.1085725762
319	0.1084029647
320	0.1082774948
321	0.108149033
322	0.1080844286
323	0.1079523727
324	0.1078568168
325	0.1077448169
326	0.1075984747
327	0.1074905963
328	0.1073533763
329	0.1070955783
330	0.1069204003
331	0.1067948154
332	0.1066133368
333	0.1064201147
334	0.1063991539
335	0.106239572
336	0.1060363792
337	0.1059217249
338	0.1058042695
339	0.1057187299
340	0.1055538747
341	0.1053094349
342	0.1052319147
343	0.1051107414
344	0.1050263641
345	0.1049170741
346	0.1048638376
347	0.1047335413
348	0.1046298824
349	0.1044605653
350	0.1044159911
351	0.1043219926
352	0.1042246658
353	0.1041051324
354	0.1039698456
355	0.1038103311
356	0.1036337806
357	0.1035256536
358	0.1033622626
359	0.1032154782
360	0.1030926245
361	0.102938173
362	0.1028593396
363	0.1027123103
364	0.1026639316
365	0.1025419822
366	0.1024127404
367	0.1022817882
368	0.102132451
369	0.1020206674
370	0.1018833478
371	0.1017864684
372	0.1016756881
373	0.1015455849
374	0.1014642297
375	0.1014013188
376	0.1012870223
377	0.1011415128
378	0.1010579448
379	0.1009480468
380	0.1008153855
381	0.100668717
382	0.1005727315
383	0.1004248819
384	0.1002755563
385	0.1001929261
386	0.1000714875
387	0.09991042924
388	0.09976695181
389	0.09968061961
390	0.09956638062
391	0.09946216502
392	0.0993946208
393	0.09934547348
394	0.09925723592
395	0.09911808227
396	0.09898247693
397	0.0988813676
398	0.09877082895
399	0.09869532408
400	0.09849423191
401	0.09835924576
402	0.09829127134
403	0.09822444201
404	0.09814656293
405	0.09802894461
406	0.09791455128
407	0.09775269156
408	0.09768049782
409	0.09760974992
410	0.09751907663
411	0.09742569833
412	0.09737416594
413	0.09723682418
414	0.09715545035
415	0.09705451614
416	0.09700855678
417	0.0968377901
418	0.09662262478
419	0.09657286281
420	0.09644453948
421	0.09641995603
422	0.09636087537
423	0.09626371848
424	0.09613145897
425	0.09603228996
426	0.09595979712
427	0.09589101407
428	0.09581392867
429	0.09570111449
430	0.0956560941
431	0.09557285347
432	0.09546333699
433	0.09534376657
434	0.09527897508
435	0.09515683544
436	0.0950676225
437	0.09495264105
438	0.09480595994
439	0.0946731854
440	0.09457780565
441	0.09446202886
442	0.09435202632
443	0.09419318084
444	0.09403965872
445	0.09396751686
446	0.09382159462
447	0.09373249667
448	0.09360197786
449	0.09352679169
450	0.09344648308
451	0.09339290971
452	0.09326427485
453	0.09324335133
454	0.09312411113
455	0.09306297644
456	0.09295483631
457	0.09288915904
458	0.09283034993
459	0.09273499029
460	0.09261884372
461	0.0925340792
462	0.09246234697
463	0.09236996225
464	0.09228854132
465	0.09218560449
466	0.09211438987
467	0.09202033182
468	0.09195846617
469	0.09190825425
470	0.09184932232
471	0.09175252622
472	0.09170984587
473	0.09160489765
474	0.0915021718
475	0.09144117667
476	0.09138877013
477	0.09131317568
478	0.09128262957
479	0.0911722251
480	0.09112327172
481	0.09102846003
482	0.09098378663
483	0.09090952428
484	0.0908701648
485	0.09076458287
486	0.090642652
487	0.09055535254
488	0.09052215212
489	0.09037097365
490	0.09021921369
491	0.09017976947
492	0.09008173172
493	0.09000861958
494	0.08991405103
495	0.08979646661
496	0.08976085124
497	0.08967708544
498	0.08953563989
499	0.08939987482
500	0.08925075263
501	0.08910739781
502	0.08903609659
503	0.08890129937
504	0.08887571684
505	0.08879487704
506	0.08870505542
507	0.0886353658
508	0.08851433082
509	0.08841180637
510	0.08827234857
511	0.0881355972
512	0.08794965959
513	0.0879089651
514	0.08781471016
515	0.08769683926
516	0.0875385004
517	0.08749540219
518	0.08741294485
519	0.08732565272
520	0.08724486799
521	0.08718046202
522	0.08714444392
523	0.08706996634
524	0.08694874147
525	0.08683706785
526	0.08675134396
527	0.0866746169
528	0.08664511393
529	0.08658819471
530	0.0864720505
531	0.08640944389
532	0.0863427376
533	0.08621902057
534	0.08610325517
535	0.08604474543
536	0.08600792578
537	0.08594316843
538	0.08585612898
539	0.08579115231
540	0.08574368554
541	0.08566301674
542	0.08559288474
543	0.08551296299
544	0.08548285127
545	0.085350521
546	0.08524318942
547	0.08518195577
548	0.08514290541
549	0.08507887064
550	0.08499746148
551	0.08483606951
552	0.08477728072
553	0.08469683177
554	0.08463388809
555	0.0845482369
556	0.08452247881
557	0.08442757253
558	0.08435205599
