iter	Passed	Remaining
0	29	29618
1	44	22297
2	60	20226
3	78	19585
4	95	19008
5	112	18570
6	130	18552
7	150	18668
8	166	18351
9	183	18144
10	201	18118
11	217	17948
12	233	17753
13	249	17595
14	265	17457
15	282	17352
16	298	17262
17	312	17039
18	330	17084
19	344	16877
20	360	16818
21	382	17025
22	404	17200
23	426	17324
24	446	17425
25	462	17342
26	479	17283
27	499	17331
28	521	17454
29	538	17396
30	558	17445
31	578	17506
32	597	17506
33	622	17680
34	640	17653
35	659	17662
36	679	17687
37	697	17648
38	717	17687
39	734	17630
40	749	17525
41	763	17424
42	780	17369
43	799	17368
44	815	17309
45	842	17471
46	861	17468
47	878	17418
48	897	17415
49	922	17531
50	985	18335
51	1017	18558
52	1060	18955
53	1098	19250
54	1135	19516
55	1183	19956
56	1217	20138
57	1249	20295
58	1290	20584
59	1315	20614
60	1338	20601
61	1375	20811
62	1406	20916
63	1441	21084
64	1465	21079
65	1489	21073
66	1510	21030
67	1528	20943
68	1549	20904
69	1571	20879
70	1593	20851
71	1612	20784
72	1635	20762
73	1653	20697
74	1677	20687
75	1700	20677
76	1725	20683
77	1745	20635
78	1766	20589
79	1790	20595
80	1811	20555
81	1837	20568
82	1861	20563
83	1883	20537
84	1906	20527
85	1927	20486
86	1950	20469
87	1972	20445
88	1997	20443
89	2018	20408
90	2034	20327
91	2054	20276
92	2075	20242
93	2096	20204
94	2112	20123
95	2126	20020
96	2142	19942
97	2158	19868
98	2177	19820
99	2191	19727
100	2211	19683
101	2230	19633
102	2254	19637
103	2271	19570
104	2287	19501
105	2303	19427
106	2319	19360
107	2335	19290
108	2353	19234
109	2368	19166
110	2384	19099
111	2401	19040
112	2417	18978
113	2432	18906
114	2446	18826
115	2464	18781
116	2482	18732
117	2497	18668
118	2517	18637
119	2533	18577
120	2547	18509
121	2563	18450
122	2582	18410
123	2599	18364
124	2616	18317
125	2633	18269
126	2650	18221
127	2672	18209
128	2690	18163
129	2704	18101
130	2721	18052
131	2740	18017
132	2762	18008
133	2776	17942
134	2791	17888
135	2812	17869
136	2831	17833
137	2847	17788
138	2865	17748
139	2881	17699
140	2896	17646
141	2910	17584
142	2927	17547
143	2942	17492
144	2955	17427
145	2971	17380
146	2985	17326
147	3000	17274
148	3014	17219
149	3033	17192
150	3048	17139
151	3062	17088
152	3083	17067
153	3099	17025
154	3112	16967
155	3131	16941
156	3145	16890
157	3163	16858
158	3178	16814
159	3194	16771
160	3209	16726
161	3226	16688
162	3239	16637
163	3253	16586
164	3272	16560
165	3289	16526
166	3305	16486
167	3319	16440
168	3337	16411
169	3353	16374
170	3370	16338
171	3386	16303
172	3400	16255
173	3420	16236
174	3438	16209
175	3455	16175
176	3469	16132
177	3493	16131
178	3510	16103
179	3525	16061
180	3543	16033
181	3559	15998
182	3577	15970
183	3592	15932
184	3609	15903
185	3627	15875
186	3646	15853
187	3663	15823
188	3680	15791
189	3694	15750
190	3709	15712
191	3722	15665
192	3735	15618
193	3752	15588
194	3774	15582
195	3792	15558
196	3809	15526
197	3825	15496
198	3840	15456
199	3856	15424
200	3873	15395
201	3894	15386
202	3910	15352
203	3927	15323
204	3964	15375
205	4004	15434
206	4031	15442
207	4064	15477
208	4093	15493
209	4120	15499
210	4141	15487
211	4173	15513
212	4201	15523
213	4226	15524
214	4249	15514
215	4269	15495
216	4286	15467
217	4310	15463
218	4326	15428
219	4340	15389
220	4354	15347
221	4371	15318
222	4384	15276
223	4401	15248
224	4417	15216
225	4430	15173
226	4446	15141
227	4462	15109
228	4476	15070
229	4495	15048
230	4510	15015
231	4524	14979
232	4540	14945
233	4553	14907
234	4568	14871
235	4583	14839
236	4601	14813
237	4617	14782
238	4631	14746
239	4645	14711
240	4662	14685
241	4675	14643
242	4689	14607
243	4705	14580
244	4727	14567
245	4741	14531
246	4757	14502
247	4771	14467
248	4787	14440
249	4802	14407
250	4819	14381
251	4837	14358
252	4857	14341
253	4869	14302
254	4885	14272
255	4898	14236
256	4915	14210
257	4930	14180
258	4945	14148
259	4961	14121
260	4976	14089
261	4992	14061
262	5005	14028
263	5020	13997
264	5034	13964
265	5051	13938
266	5067	13911
267	5082	13882
268	5098	13855
269	5120	13843
270	5135	13815
271	5152	13789
272	5166	13757
273	5180	13727
274	5194	13695
275	5208	13661
276	5222	13630
277	5236	13599
278	5251	13569
279	5264	13537
280	5280	13511
281	5297	13488
282	5312	13458
283	5326	13428
284	5344	13408
285	5362	13387
286	5379	13364
287	5395	13338
288	5409	13309
289	5423	13277
290	5436	13245
291	5455	13227
292	5470	13200
293	5486	13175
294	5501	13148
295	5519	13128
296	5535	13103
297	5550	13074
298	5565	13047
299	5581	13023
300	5593	12989
301	5609	12965
302	5624	12938
303	5637	12906
304	5653	12883
305	5668	12854
306	5685	12833
307	5699	12804
308	5712	12774
309	5727	12747
310	5740	12717
311	5754	12690
312	5769	12664
313	5785	12638
314	5801	12616
315	5815	12587
316	5828	12558
317	5842	12530
318	5856	12501
319	5877	12488
320	5891	12462
321	5910	12445
322	5925	12420
323	5938	12390
324	5953	12365
325	5968	12340
326	5983	12315
327	6001	12296
328	6018	12274
329	6031	12246
330	6047	12223
331	6061	12196
332	6078	12175
333	6093	12150
334	6107	12124
335	6124	12103
336	6137	12074
337	6151	12049
338	6167	12024
339	6183	12003
340	6200	11982
341	6213	11954
342	6226	11927
343	6240	11900
344	6252	11870
345	6267	11846
346	6280	11819
347	6295	11794
348	6316	11781
349	6330	11756
350	6344	11731
351	6358	11704
352	6372	11680
353	6389	11659
354	6407	11642
355	6423	11619
356	6437	11594
357	6451	11570
358	6467	11548
359	6482	11523
360	6497	11501
361	6516	11485
362	6531	11462
363	6548	11441
364	6567	11426
365	6588	11412
366	6605	11392
367	6626	11379
368	6646	11364
369	6664	11347
370	6683	11331
371	6700	11311
372	6716	11290
373	6743	11287
374	6763	11271
375	6780	11252
376	6798	11234
377	6815	11215
378	6828	11189
379	6843	11164
380	6861	11147
381	6874	11121
382	6889	11099
383	6905	11078
384	6922	11057
385	6937	11034
386	6954	11015
387	6967	10989
388	6982	10967
389	6996	10943
390	7010	10919
391	7023	10893
392	7037	10869
393	7051	10846
394	7068	10826
395	7085	10806
396	7098	10781
397	7112	10758
398	7129	10738
399	7145	10717
400	7158	10693
401	7174	10673
402	7190	10651
403	7203	10627
404	7218	10604
405	7231	10580
406	7246	10558
407	7261	10535
408	7276	10515
409	7291	10492
410	7304	10468
411	7318	10444
412	7333	10423
413	7349	10402
414	7369	10387
415	7387	10370
416	7401	10347
417	7421	10332
418	7442	10319
419	7457	10298
420	7475	10281
421	7491	10260
422	7505	10237
423	7519	10214
424	7538	10199
425	7550	10174
426	7571	10160
427	7587	10139
428	7603	10120
429	7619	10100
430	7633	10077
431	7647	10055
432	7664	10035
433	7681	10017
434	7697	9997
435	7712	9976
436	7727	9954
437	7742	9934
438	7757	9913
439	7770	9890
440	7785	9868
441	7800	9847
442	7813	9824
443	7828	9803
444	7846	9786
445	7861	9765
446	7874	9742
447	7887	9718
448	7903	9698
449	7925	9687
450	7938	9663
451	7962	9653
452	7978	9634
453	7990	9609
454	8004	9588
455	8021	9569
456	8036	9549
457	8053	9530
458	8066	9507
459	8081	9486
460	8096	9466
461	8109	9443
462	8125	9423
463	8138	9401
464	8152	9380
465	8166	9358
466	8180	9336
467	8192	9313
468	8206	9291
469	8220	9270
470	8235	9249
471	8254	9234
472	8268	9212
473	8280	9189
474	8294	9167
475	8306	9143
476	8327	9130
477	8345	9113
478	8359	9092
479	8373	9071
480	8385	9048
481	8401	9029
482	8416	9009
483	8428	8986
484	8445	8967
485	8460	8947
486	8478	8931
487	8492	8910
488	8505	8887
489	8519	8867
490	8533	8846
491	8548	8826
492	8563	8806
493	8575	8784
494	8589	8762
495	8602	8741
496	8617	8721
497	8631	8700
498	8647	8682
499	8664	8664
500	8679	8644
501	8693	8623
502	8706	8602
503	8720	8582
504	8741	8568
505	8757	8550
506	8771	8529
